CUSTOMER CODE,CLAIMED POINTS
184824,1
152068,1
118049,1
198240,1
136559,1
130782,1
215790,1
51659,1
218638,1
228949,1
204208,1
38180,1
48163,1
110918,1
218588,1
84866,1
211820,1
207973,1
172862,1
191570,1
73509,1
202932,1
137247,1
121269,1
139930,1
205397,1
185735,1
165592,1
199992,1
52428,1
161066,1
81174,1
125001,1
201973,1
170198,1
143692,1
142784,1
186056,1
176987,1
73686,1
118720,1
202297,1
149784,1
104671,1
187152,1
96537,1
64462,1
64010,1
73973,1
126933,1
13680,1
148871,1
67743,1
94381,1
163422,1
8301,1
58296,1
21654,1
191734,1
175347,1
93922,1
10643,1
142352,1
141368,1
8972,1
5765,1
58102,1
166143,1
13668,1
77085,1
80172,1
79934,1
139347,1
224514,1
163742,1
1388,1
99369,1
118613,1
158071,1
5624,1
1225,1
127019,1
134454,1
89511,1
176797,1
87600,1
1977,1
94766,1
92024,1
28040,1
106878,1
121060,1
3594,1
174027,1
135930,1
88340,1
1458,1
100548,1
121927,1
93679,1
148690,1
46419,1
81711,1
110581,1
178561,1
63257,1
7675,1
15978,1
185596,1
94838,1
76006,1
163076,1
172915,1
189766,1
107696,1
88675,1
67391,1
113723,1
107554,1
150279,1
196398,1
111763,1
101236,1
135642,1
32713,1
139258,1
120696,1
62016,1
44140,1
37155,1
105175,1
86755,1
8063,1
32030,1
14311,1
93702,1
157113,1
106030,1
28387,1
97866,1
148935,1
147432,1
135367,1
147630,1
112075,1
105858,1
21754,1
86367,1
113307,1
131078,1
173066,1
140230,1
47243,1
156807,1
45204,1
169847,1
83323,1
94513,1
130946,1
207620,1
203745,1
7113,1
19946,1
12898,1
15949,1
129911,1
31375,1
131954,1
93304,1
49017,1
29097,1
198404,1
157437,1
140990,1
180805,1
4739,1
21705,1
21272,1
119010,1
185615,1
76870,1
129539,1
94214,1
118523,1
167258,1
128421,1
220679,1
124768,1
113603,1
14035,1
136202,1
150856,1
26032,1
6037,1
161728,1
161184,1
203990,1
137590,1
100000,1
38970,1
88627,1
94985,1
146582,1
100163,1
34534,1
27712,1
192297,1
26560,1
90541,1
34112,1
108857,1
213745,1
90591,1
7042,1
101343,1
64162,1
139121,1
207619,1
44518,1
9632,1
23442,1
186960,1
8617,1
159813,1
22415,1
142528,1
104423,1
201384,1
119907,1
72380,1
47363,1
3263,1
93966,1
129489,1
8796,1
118993,1
76843,1
64599,1
94829,1
2619,1
124634,1
3803,1
175729,1
3611,1
204992,1
160536,1
39055,1
169135,1
217881,1
195311,1
10977,1
